Title,Tempo,SR x .5,SR x 1,SR x 2,Onset SR x 1,60 Window,beat len,DTF1,DTF2
Holy Orders ~Be Just Or Be Dead~ -Ky's Theme-,120,117.4538,120.1853,120.1853,120.1853,120.1853,104,60,117
Houyo,90,89.1029,90.6661,181.3322,90.6661,89.1029,87,45,89
I _3 Techno,135,135.9992,135.9992,134.233,135.9992,135.9992,135,68,136
I?m Just Like That,0,61.5234,123.0469,123.0469,123.0469,123.0469,122,62,123
Jamie Paige -  wish that i could fall (UNBEATABLE Arcade vers.),159,161.499,105.4688,127.6042,105.4688,105.4688,102,53,81
Jamie Paige - Cadmium Colors,74,73.8281,147.6562,147.6562,147.6562,147.6562,146,50,74
Jamie Paige - I Wish That I Could Fall,140,143.5547,139.6748,139.6748,139.6748,139.6748,140,70,144
"Jamie Paige, OK Glass - BIRDBRAIN",80,80.7495,161.499,127.6042,161.499,161.499,158,40,81
"Jamie Paige, Visualeyes - ROT FOR CLOUT",86,86.1328,86.1328,172.2656,86.1328,86.1328,84,43,86
Kaneko Ayano - aiming for the sun,126,129.1992,126.048,126.048,126.048,126.048,107,63,123
Kaneko Ayano - difficult,134,135.9992,132.512,134.233,132.512,132.512,111,45,66
Kaneko Ayano - i'm not sad,70,107.666,107.666,143.5547,107.666,107.666,104,54,108
Katamari Damacy  OST - ??????? (I want to clump together),0,123.0469,126.048,63.024,126.048,126.048,125,63,123
Katamari Damacy  OST - ?????????(Katamari on the Wings),0,107.666,105.4688,141.5882,105.4688,105.4688,102,53,108
Katamari Damacy  OST - LONELY ROLLING STAR,170,86.1328,84.7208,169.4416,84.7208,84.7208,83,42,86
Ken Carson - Me N My Kup,140,143.5547,139.6748,139.6748,139.6748,139.6748,139,47,70
Ken Carson- possession,144,143.5547,143.5547,143.5547,143.5547,143.5547,141,48,72
LUCKI - EXOTIC,144,143.5547,143.5547,114.8438,143.5547,143.5547,142,48,72
Lady Gaga - Bad Romance,119,117.4538,120.1853,118.8039,120.1853,120.1853,99,60,117
"Lady Gaga, Colby O'Donis - Just Dance",119,117.4538,120.1853,118.8039,120.1853,120.1853,113,60,117
Lamp & Kaede -Morning Call,0,129.1992,129.1992,129.1992,129.1992,129.1992,125,65,129
Lamp - Last Train At 25 O'clock,0,129.1992,129.1992,130.8347,129.1992,129.1992,128,65,129
Lil Uzi Vert - 444+222,77,151.9991,77.1339,154.2677,151.9991,151.9991,153,39,78
Lil Uzi Vert - Sauce It Up,80,161.499,161.499,79.5072,105.4688,161.499,154,53,81
"Lil Uzi Vert, BABYMETAL - The End (feat. BABYMETAL)",110,112.3471,109.9568,109.9568,109.9568,109.9568,106,55,74
Lotus Juice - Dance!,0,135.9992,135.9992,134.233,135.9992,135.9992,129,68,136
"Lotus Juice, Azumi Takahashi, ??????????? - Color Your Night",95,95.7031,95.7031,94.8251,95.7031,95.7031,92,48,96
Love is War op3 feat. ??GIRI GIRI,0,129.1992,129.1992,127.6042,129.1992,129.1992,91,65,129
Lucy Bedroque - G6 Anthem,0,184.5703,126.048,149.7962,126.048,126.048,126,47,92
Lucy Bedroque - How to Pretend,95,95.7031,191.4062,94.8251,126.048,126.048,123,48,96
Lucy Bedroque - Mimosa (2024),129,129.1992,86.1328,129.1992,129.1992,86.1328,89,43,86
Lucy Bedroque - true perspective,171,172.2656,117.4538,139.6748,117.4538,117.4538,87,59,89
MGR OST - I'm My Own Master Now,185,92.2852,123.0469,147.6562,123.0469,123.0469,123,62,92
MGR OST - The Stains of Time,100,99.384,99.384,100.3489,99.384,99.384,99,50,99
Machine Love - Jamie Paige.wav,175,86.1328,87.5927,175.1854,117.4538,87.5927,87,44,86
Magical Date OST - I'll Sing My Song,104,103.3594,103.3594,104.4034,103.3594,103.3594,103,52,103
Mechanized Memories (1),167,85.2273,83.9552,167.9104,112.5,83.9552,67,56,85
Meltdown feat.Kagamine Rin,0,83.3543,109.9568,109.9568,109.9568,109.9568,102,55,83
Melty Blood - Strange Dreamer Cover,132,129.1992,132.512,132.512,132.512,132.512,130,44,66
Melty Blood_ Fairy Tale Transparently - Cover,148,151.9991,147.6562,147.6562,147.6562,147.6562,142,50,74
"Metro Boomin, Future, Don Toliver - Too Many Nights (feat. Don Toliver & with Future)",88,89.1029,87.5927,88.3413,117.4538,87.5927,80,44,89
Metropolis Street Racer - It Doesn't Really Matter,130,129.1992,129.1992,129.1992,129.1992,129.1992,127,65,129
Miki Matsubara - Mayonaka no Door Stay With Me,108,107.666,107.666,108.7993,107.666,107.666,106,54,108
Modernism Street -Remastering-  (??????) _ MELTY BLOOD Actress Again Current Code OST (1).wav,135,135.9992,135.9992,107.666,135.9992,135.9992,135,68,136
Monochrome,101,103.3594,101.3327,101.3327,101.3327,101.3327,100,51,103
Monster Hunter Generations Ultimate OST_ Valstrax Theme ?????? BGM [HQ  4K],128,129.1992,129.1992,127.6042,129.1992,129.1992,130,65,86
My Dad's Gone Crazy,88,87.8906,87.8906,87.8906,87.8906,87.8906,87,44,88
Nettspend - who tf is u (official audio),161,80.7495,161.499,161.499,107.666,161.499,159,54,81
Nettspend - who tf is u (official video),0,80.7495,161.499,161.499,107.666,161.499,149,54,81
New Tune,82,161.499,109.9568,82.0312,109.9568,109.9568,108,55,83
Night of Nights (Flowering nights remix)  By COOL&CREATEbeatMARIO,180,89.1029,120.1853,120.1853,120.1853,120.1853,118,60,89
Normal Battle -Labyrinth of Amala-,142,143.5547,70.7941,141.5882,143.5547,70.7941,71,35,96
Obscure Zone -Remastering-  (????) _ MELTY BLOOD Actress Again Current Code OST.wav,150,151.9991,99.384,120.1853,99.384,99.384,97,50,76
Only Ever You,107,71.7773,143.5547,108.7993,107.666,143.5547,139,54,72
OsamaSon - Frontin,77,151.9991,156.6051,77.7138,103.3594,156.6051,154,52,78
OsamaSon - Function,85,172.2656,114.8438,85.421,114.8438,114.8438,115,57,86
OsamaSon - Get Away,77,151.9991,151.9991,123.0469,151.9991,151.9991,127,51,76
OsamaSon - Room 156,78,78.3026,156.6051,156.6051,156.6051,156.6051,125,53,78
OsamaSon - Whats Happening,147,143.5547,147.6562,117.4538,147.6562,147.6562,146,49,74
OsamaSon - off that!,80,80.7495,156.6051,106.5561,156.6051,156.6051,157,40,81
OsamaSon - popstar [Official Music Video],153,151.9991,151.9991,76.5625,151.9991,151.9991,128,51,76
Osamason - Its A Party,85,83.3543,112.3471,84.7208,112.3471,112.3471,110,56,83
Ouran High School Host Club - Textless Opening (English Dub) HD,83,82.7206,165.4412,165.4412,110.2941,165.4412,100,55,83
POLTA???????MV,83,83.3543,166.7087,166.7087,109.9568,166.7087,164,55,83
Paranoid,150,151.9991,99.384,120.1853,151.9991,99.384,98,50,76
Peronsa 3 - ???????,0,89.1029,120.1853,89.8777,120.1853,120.1853,120,45,89
Persona 3 Reload - ??????? (P3R ver.),0,89.1029,120.1853,89.8777,120.1853,120.1853,120,45,89
Persona 3 Reload - Don't,90,89.1029,120.1853,90.6661,120.1853,120.1853,120,60,89
Persona 4 OST - Backside Of The TV,0,99.384,99.384,100.3489,99.384,99.384,99,50,99
Persona 4 OST - I'll Face Myself -Battle-,0,100.4464,100.4464,101.3514,100.4464,100.4464,100,50,100
Persona 4 OST - Signs Of Love,0,103.3594,105.4688,139.6748,105.4688,105.4688,104,53,103
Persona 4_ Heaven - Instrumental Cover,125,123.0469,126.048,124.5294,126.048,126.048,123,63,123
Pi'erre Bourne - Ballad (Official Audio),101,99.384,99.384,100.3489,99.384,99.384,96,50,99
Pi'erre Bourne - Feds (Official Audio),133,66.256,132.512,130.8347,132.512,135.9992,133,66,129
Pi'erre Bourne - Poof (Official Audio),81,80.7495,82.0312,164.0625,161.499,82.0312,73,41,81
Pi'erre Bourne - Romeo Must Die (Official Audio),71,143.5547,143.5547,143.5547,143.5547,143.5547,144,48,72
Pi'erre Bourne - Try Again (Official Audio),74,151.9991,74.8981,149.7962,147.6562,147.6562,142,50,74
Pink Moscato - PlaqueBoyMax,76,151.9991,151.9991,100.3489,151.9991,151.9991,141,51,76
PinkPantheress - Pain,125,123.0469,126.048,126.048,126.048,126.048,87,63,123
PinkPantheress - Stateside,123,123.0469,123.0469,123.0469,123.0469,123.0469,123,62,123
"PinkPantheress, Rachel Chinouriri - Romeo + Rachel Chinouriri",79,78.3026,156.6051,156.6051,156.6051,156.6051,149,39,78
"PinkPantheress, Zara Larsson - Stateside + Zara Larsson",124,123.0469,123.0469,123.0469,123.0469,123.0469,121,62,123
Playboi Carti - H00DBYAIR,140,140.625,93.75,112.5,140.625,93.75,84,47,70
Playboi Carti - WICKED,149,151.9991,99.384,99.384,147.6562,99.384,93,50,74
Playboi Carti- Bouldercrest (Piru) [feat. Offset].wav,142,143.5547,143.5547,141.5882,143.5547,143.5547,124,47,72
"Pok?mon Omega Ruby & Alpha Sapphire - Cobalion, Virizion & Terrakion Battle Music (HQ)",0,86.1328,172.2656,116.1341,172.2656,172.2656,170,44,86
Pok?mon Omega Ruby & Alpha Sapphire - Giratina Battle Music (HQ),0,92.2852,184.5703,123.0469,123.0469,184.5703,175,46,92
Pok?mon Omega Ruby & Alpha Sapphire - Reshiram & Zekrom Battle Music (HQ),0,123.0469,123.0469,123.0469,123.0469,123.0469,103,62,123
Pok?mon Omega Ruby & Alpha Sapphire - Vs Zinnia (Highest Quality) (1),0,89.1029,89.1029,118.8039,120.1853,120.1853,113,45,89
"Ponpoko in the Distance, Tenchio, postergirlxoxo - Hotel Room 215",103,103.3594,103.3594,135.9992,135.9992,103.3594,100,52,103
Protect - Re4 [Official Audio],73,143.5547,97.5088,72.7883,143.5547,97.5088,89,49,74
Protect - What doesn't kill u,149,151.9991,99.384,118.8039,99.384,99.384,87,50,74
Pull the Trigger,146,143.5547,97.5088,145.5766,97.5088,97.5088,92,49,74
Pz' - Keep It Tucked (Studio Video),143,143.5547,143.5547,143.5547,143.5547,143.5547,143,48,72
Queens of the Stone Age - First It Giveth,109,107.666,143.5547,107.666,143.5547,143.5547,144,55,108
R4 -THE 20TH ANNIV. SOUNDS- - Naked Glow (20th Anniv. Mix),133,135.9992,132.512,132.512,132.512,132.512,132,66,89
R4 Ridge Racer Type 4 - Move Me (20th Anniversary Remaster),165,161.499,109.9568,109.9568,109.9568,109.9568,106,55,83
ROLLING STONE - Che,83,107.666,107.666,130.8347,107.666,107.666,103,54,108
Rhythmical Bustle -Remastering-  (??????) _ MELTY BLOOD Actress Again Current Code OST,132,129.1992,105.4688,130.8347,105.4688,105.4688,102,53,89
Rio Da Yung Og x Babytron- Legendary (Official Video),97,99.384,97.5088,98.4375,97.5088,97.5088,92,49,99
"Risk It All, Pt.2",88,89.1029,117.4538,141.5882,117.4538,117.4538,112,59,89
"Roar, Roar, Roar!!",93,92.2852,92.2852,92.2852,92.2852,92.2852,81,46,92
Romance Sengen,78,78.3026,156.6051,156.6051,156.6051,156.6051,148,53,78
Roundtripski,85,86.1328,112.3471,135.9992,112.3471,112.3471,112,56,86
SA-Rank Battle - Deniz Akbulut.wav,106,89.1029,120.1853,89.8777,120.1853,120.1853,117,60,89
SAKURA-KOI-UTA -Remastering-  (????) _ MELTY BLOOD Actress Again Current Code OST,90,107.666,105.4688,141.5882,105.4688,105.4688,103,53,108
SEAPOOL - PICNIC,85,86.1328,84.7208,169.4416,112.3471,84.7208,85,56,86
SQUARE UP - jamie paige x peak divide feat. GUMI & rachel lake (1),85,86.1328,172.2656,135.9992,112.3471,172.2656,165,56,86
SUPER PLAY(???????????),75,151.9991,74.8981,149.7962,120.1853,99.384,101,50,76
"Satellite Lovers - How much I Love you,baby",93,92.2852,123.0469,92.2852,123.0469,123.0469,122,62,92
Sayonara Anata,108,107.666,107.666,143.5547,107.666,109.9568,108,55,108
Scraper Sky High (Hyde Theme),110,112.3471,109.9568,109.9568,109.9568,109.9568,108,55,74
Serani Poji - LOVERLABOR,0,99.384,129.1992,130.8347,129.1992,129.1992,123,49,99
Serani Poji - Mr.Smilie,0,86.1328,84.7208,113.5817,112.3471,84.7208,84,42,86
Severe person -Remastering-  (?????) _ MELTY BLOOD Actress Again Current Code OST,81,161.499,107.666,80.7495,107.666,107.666,108,54,81
Shadow World - P4D ver,0,117.4538,114.8438,116.1341,114.8438,114.8438,115,57,117
"She is inside, He is outside",97,95.7031,97.5088,97.5088,129.1992,97.5088,97,49,96
ShinMegamiTensieV OST - Battle -Daat- Vengeance,95,95.7031,95.7031,94.8251,126.048,95.7031,94,48,96
ShinMegamiTensieV OST -Battle -Daat-,88,89.1029,87.5927,175.1854,117.4538,87.5927,87,59,89
Signs Of Love,105,103.3594,105.4688,105.4688,105.4688,105.4688,104,53,103
Sip In My Room,72,143.5547,95.7031,143.5547,143.5547,143.5547,127,48,72
Slayr - keep me going (BIRDBRAIN),160,80.7495,161.499,127.6042,107.666,161.499,159,54,81
Soutaiseiriron - Kininaru Ano Ko,96,95.7031,95.7031,95.7031,95.7031,95.7031,80,48,96
Soutaiseiriron - Moonlight Ginga,82,161.499,161.499,130.8347,109.9568,161.499,164,55,83
Soutaiseiriron - Sumatra Keibitai,100,99.384,99.384,100.3489,99.384,99.384,99,50,99
"Stavros Markonis, Foivos - Deluge-ional",75,151.9991,151.9991,149.7962,147.6562,151.9991,149,50,76
StellerBladeOST - Silent Street Battle,144,143.5547,143.5547,143.5547,143.5547,143.5547,143,48,72
StellerBladeOST -Silent Street Type A,144,143.5547,143.5547,143.5547,143.5547,143.5547,140,48,72
StellerBladeOst - Silent Street _Battle_ - Hyunmin Cho,144,143.5547,143.5547,143.5547,143.5547,143.5547,142,48,72
StellerBladeOst - Stalker,85,172.2656,84.7208,169.4416,112.3471,84.7208,76,56,86
Strange Dreamer -Remastering-  (???????) _ MELTY BLOOD Actress Again Current Code OST,135,67.9996,135.9992,134.233,135.9992,135.9992,136,68,136
Super Wrong,81,161.499,107.666,129.1992,107.666,107.666,108,54,81
TWICE - HELL IN HEAVEN,105,103.3594,105.4688,105.4688,139.6748,139.6748,136,53,103
TWICE - THIS IS FOR,128,129.1992,129.1992,127.6042,129.1992,129.1992,128,65,129
TWICE - THIS IS FOR (Extended),128,129.1992,129.1992,127.6042,129.1992,129.1992,128,65,129
TWICE - What is Love,85,86.1328,84.7208,113.5817,112.3471,84.7208,83,42,86
Tears For Fears - Head Over Heels,95,95.7031,95.7031,94.8251,95.7031,95.7031,91,48,96
The Arctic,80,80.7495,107.666,106.5561,107.666,107.666,101,54,81
The Dancer's High - Yoiyami Dancers_ Twilight Danmaku Dancers OST,87,172.2656,87.5927,175.1854,117.4538,87.5927,77,44,86
The theme of Arcueid -Remastering-  (????) _ MELTY BLOOD Actress Again Current Code OST,87,89.1029,87.5927,87.5927,117.4538,87.5927,88,59,89
Tiffany Day - AMERICAN GIRL,132,129.1992,132.512,132.512,132.512,132.512,131,66,129
Tiffany Day - NO LUCK,94,95.7031,93.9631,93.9631,93.9631,93.9631,92,47,96
Tiffany Day - PRETTY4U,142,143.5547,143.5547,141.5882,143.5547,143.5547,141,72,144
Towelket ha odayakana,123,123.0469,82.0312,161.499,123.0469,80.7495,62,62,123
Troublesome Visitor -Remastering-  (????????) _ MELTY BLOOD Actress Again Current Code OST,82,161.499,109.9568,109.9568,109.9568,109.9568,107,55,83
Turbo,80,161.499,161.499,106.5561,161.499,161.499,128,40,81
UNBEATABLE Arcade - ebichahan shrimp (quaver edit),0,123.0469,126.048,124.5294,126.048,83.3543,81,42,83
UNBEATABLE OST - MIRROR by peak divide & Rachel Lake,0,89.1029,87.5927,117.4538,117.4538,178.2058,176,59,89
UNBEATABLE OST - WAITING by peak divide & Rachel Lake,0,89.1029,178.2058,89.1029,117.4538,178.2058,172,45,89
UNBEATABLE Vocal OST - Track 7 - LONER (1),109,108.1731,108.1731,109.2233,108.1731,108.1731,95,54,108
UNDER NIGHT IN-BIRTH OST - unknown actor,145,143.5547,143.5547,145.5766,143.5547,143.5547,144,49,72
Ultraviolet,82,80.7495,82.0312,164.0625,109.9568,82.0312,80,41,83
Vampire Hour,75,148.0263,100.4464,119.6809,100.4464,100.4464,104,50,76
Vlad,141,143.5547,95.7031,143.5547,143.5547,95.7031,94,48,96
YONLAPA - Misguided Ghost,138,135.9992,139.6748,137.8125,139.6748,139.6748,137,70,136
YONLAPA - Sweetest Cure,69,103.3594,105.4688,139.6748,105.4688,105.4688,104,53,103
YONLAPA - Velvet Love,105,103.3594,105.4688,139.6748,105.4688,105.4688,104,53,103
YT - Ain't Tellin,109,107.666,109.9568,108.7993,109.9568,109.9568,94,55,108
YT - Lonely,72,143.5547,95.7031,114.8438,114.8438,95.7031,96,48,96
Yasashii guitar,102,103.3594,101.3327,102.336,101.3327,101.3327,100,51,99
Your Love Is a Drug,74,73.8281,74.8981,149.7962,147.6562,74.8981,74,37,74
Yui Horie - silky heart,135,135.9992,135.9992,134.233,135.9992,135.9992,132,68,136
beabadoobee - Real Man,130,66.256,129.1992,130.8347,129.1992,129.1992,129,65,103
beabadoobee - Sun Has Set,178,89.1029,89.1029,118.8039,120.1853,89.1029,71,60,89
bluberry bakwood,149,151.9991,99.384,99.384,147.6562,99.384,87,50,74
feminine adornments - julie,93,80.7495,107.666,92.2852,107.666,107.666,98,54,81
kanekoayano - me and the sunset (????).wav,0,123.0469,123.0469,123.0469,123.0469,123.0469,122,62,123
kinoue64 - who are you,80,80.7495,161.499,106.5561,120.1853,161.499,160,54,81
kuru - I can live w that,145,143.5547,143.5547,116.1341,143.5547,143.5547,142,49,72
lexycat - glitter,130,129.1992,129.1992,129.1992,129.1992,129.1992,129,65,129
lexycat - medicine,100,99.384,132.512,100.3489,132.512,132.512,130,50,99
no. no. no.,74,73.8281,147.6562,147.6562,147.6562,147.6562,144,74,74
noa - Any angle,88,89.1029,117.4538,87.5927,117.4538,117.4538,111,59,89
noa - lose the frame,83,83.3543,166.7087,166.7087,109.9568,166.7087,161,55,83
osamason - text back,78,78.3026,156.6051,156.6051,156.6051,156.6051,143,52,78
rubens - Don't Stop the Wind (Music Video),0,73.8281,74.8981,149.7962,147.6562,74.8981,72,50,74
rubens - Tenshi-San,0,122.2826,119.6809,119.6809,119.6809,119.6809,120,60,117
skaiwater - blink twice,70,143.5547,139.6748,139.6748,139.6748,139.6748,109,46,70
slayr - promise,155,151.9991,103.3594,103.3594,103.3594,103.3594,100,52,78
uncomfy _feat. OsamaSon_ - xaviersobased,110,112.3471,109.9568,109.9568,109.9568,109.9568,109,55,112
worth it,120,117.4538,120.1853,120.1853,120.1853,120.1853,90,60,117
xaviersobased - red snapper,116,117.4538,114.8438,116.1341,114.8438,114.8438,115,57,117
